xid,rera_no,state,proj_name,prom_name,project_type,project_sub_type,project_comp_date,proj_status,total_area,num_of_towers,project_address,project_desc
PRM/KA/RERA/1251/446/PR/190424/006813,PRM/KA/RERA/1251/446/PR/190424/006813,Karnatka,TRIFECTA VANTO PHASE-1,TRIFECTA PROJECTS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-08-2027,New Project Launch,36678,2,"Sy. No. 37/2,37/3,37/4,37/5,37/6,37/7P,37/8,37/9,37/10,37/11,37/12,37/13,37/14,37/15,37/16,37/17,37/18,37/19,37/20,43/4B and 43/5 , Bangalore Urban, , Bengaluru East , Bengaluru Urban, Karnataka - 560035",
PRM/KA/RERA/1251/308/PR/101122/005438,PRM/KA/RERA/1251/308/PR/101122/005438,Karnatka,SNR SAFA,SNR SQUARE PVT LTD,Residential/Group Housing,Apartment,28-02-2025,New Project Launch,5300,4,,
PRM/KA/RERA/1251/308/PR/220424/006830,PRM/KA/RERA/1251/308/PR/220424/006830,Karnatka,CASAGRAND VIVACITY,CASA GRANDE GARDEN CITY BUILDERS PVT LTD,Residential/Group Housing,Apartment,4/4/2029,New Project Launch,42593,2,"Sy.Nos. 93 & 99 , Chikkanagamangala Village Sarajapura Hobli, Anekal Taluk , Anekal , Bengaluru Urban, Karnataka - 560099",
PRM/KA/RERA/1251/446/PR/180420/001525,PRM/KA/RERA/1251/446/PR/180420/001525,Karnatka,AMRUTHA PLATINUM TOWERS,AMRUTHA RAMA CONSTRUCTIONS PVT LTD,Residential/Group Housing,,30-09-2024,New Project Launch,10016,,"Survey No.51, Nallurahalli Village, K.R.Puram Hobli",
PRM/KA/RERA/1250/307/PR/040524/006863,PRM/KA/RERA/1250/307/PR/040524/006863,Karnatka,GREEN GROVES,SATTVA INFRASTRUCTURE INDIA PRIVATE LIMITED,Plotted Development,,17-09-2026,Ongoing,,,,
TOR/PRM/KA/RERA/1250/301/PR/221116/001916,TOR/PRM/KA/RERA/1250/301/PR/221116/001916,Karnatka,SHRIRAM PRISTINE ESTATES,SPL HOUSING PROJECTS PRIVATE LIMITED,Plotted Development,,15-05-2025,Ongoing,196472,,"Siddenayakanahalli, Muthur, Raghunathapura village",
PRM/KA/RERA/1251/446/PR/150524/006874,PRM/KA/RERA/1251/446/PR/150524/006874,Karnatka,MYHNA ORCHID,MYHNA ESTATE PROJECTS,Residential/Group Housing,Apartment,31-12-2027,New Project Launch,20170,2,"MYHNA ESTATE PROJECTS Rep.by its Managing Partner Mr. M.Karthikeyan, , Sy. No. 44/2, 44/3, 44/4, 44/5, 44/6, 44/7, 44/8, 44/9, 44/10, 48/4, 48/5, 48/6, 48/7, 48/8, 48/9, 48/10 and , Bengaluru East , Bengaluru Urban, Karnataka - 560037",
PRM/KA/RERA/1251/446/PR/120123/005620,PRM/KA/RERA/1251/446/PR/120123/005620,Karnatka,SATTVA BLISS,SATTVA DEVELOPERS PRIVATE LIMITED,Residential/Group Housing,Apartment,22-08-2027,New Project Launch,13455,3,,
PRM/KA/RERA/1251/446/PR/040524/006860,PRM/KA/RERA/1251/446/PR/040524/006860,Karnatka,NAVA VAJRA,NAVA JYOTHI SHELTERS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-03-2028,New Project Launch,18437,6,"Property bearing Survey No.41/2, Common/Joint BBMP Katha No.41/2/117, 4th main Road , Kalkere Agara Main Road, Horamavu Agara Village , Bengaluru East , Bengaluru Urban, Karnataka - 560043",
PRM/KA/RERA/1251/310/PR/150223/005721,PRM/KA/RERA/1251/310/PR/150223/005721,Karnatka,DS MAX SAMYAK,DS MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,Apartment,31-01-2028,Ongoing,11735,1,,
