XID,Project Name,Unit Type,Area,Price,Area Type
425713,Kalpataru Primera,2 BHK 473 Sq. Ft. Apartment,473 Sq. Ft.,Rs 95.40 Lac,(Carpet)
425713,Kalpataru Primera,2 BHK 695 Sq. Ft. Apartment,695 Sq. Ft.,Rs 1.40 Cr,(Carpet)
425823,Yukti Anchor Point Oasis,1 BHK 421 Sq. Ft. Apartment,421 Sq. Ft.,Rs 1.40 Cr,(Carpet)
425823,Yukti Anchor Point Oasis,1 BHK 440 Sq. Ft. Apartment,440 Sq. Ft.,Rs 1.46 Cr,(Carpet)
425823,Yukti Anchor Point Oasis,2 BHK 650 Sq. Ft. Apartment,650 Sq. Ft.,Rs 2.18 Cr,(Carpet)
425823,Yukti Anchor Point Oasis,2 BHK 741 Sq. Ft. Apartment,741 Sq. Ft.,Rs 2.75 Cr,(Carpet)
428714,Kalpataru Amare,3 BHK 1406 Sq. Ft. Apartment,1406 Sq. Ft.,Rs 10.00 Cr,(Carpet)
428714,Kalpataru Amare,3 BHK 1531 Sq. Ft. Apartment,1531 Sq. Ft.,Rs 10.94 Cr,(Carpet)
428714,Kalpataru Amare,4 BHK 1899 Sq. Ft. Apartment,1899 Sq. Ft.,Rs 13.56 Cr,(Carpet)
425239,Adityaraj Majestic,1 BHK 364 Sq. Ft. Apartment,364 Sq. Ft.,Rs 95.00 Lac,(Carpet)
425239,Adityaraj Majestic,1 BHK 465 Sq. Ft. Apartment,465 Sq. Ft.,Rs 1.21 Cr,(Carpet)
425239,Adityaraj Majestic,2 BHK 560 Sq. Ft. Apartment,560 Sq. Ft.,Rs 1.46 Cr,(Carpet)
425239,Adityaraj Majestic,2 BHK 649 Sq. Ft. Apartment,649 Sq. Ft.,Rs 1.69 Cr,(Carpet)
428718,Rustomjee Ocean Vista,3 BHK 1326 Sq. Ft. Apartment,1326 Sq. Ft.,Rs 10.81 Cr,(Carpet)
428718,Rustomjee Ocean Vista,4 BHK 2394 Sq. Ft. Apartment,2394 Sq. Ft.,Rs 19.52 Cr,(Carpet)
428718,Rustomjee Ocean Vista,4 BHK 2521 Sq. Ft. Apartment,2521 Sq. Ft.,Rs 20.57 Cr,(Carpet)
428718,Rustomjee Ocean Vista,5 BHK 3912 Sq. Ft. Apartment,3912 Sq. Ft.,Rs 31.90 Cr,(Carpet)
429439,Juhi Empressa,2 BHK 683 Sq. Ft. Apartment,683 Sq. Ft.,Rs 2.50 Cr,(Carpet)
429439,Juhi Empressa,3 BHK 941 Sq. Ft. Apartment,941 Sq. Ft.,Rs 3.44 Cr,(Carpet)
429439,Juhi Empressa,4 BHK 1412 Sq. Ft. Apartment,1412 Sq. Ft.,Rs 5.17 Cr,(Carpet)
433162,Neelkamal Gokul,2 BHK 754 Sq. Ft. Apartment,754 Sq. Ft.,Rs 1.51 Cr,(Carpet)
433162,Neelkamal Gokul,3 BHK 1077 Sq. Ft. Apartment,1077 Sq. Ft.,Rs 2.16 Cr,(Carpet)
429460,Ruturaj Classic,1 BHK 396 Sq. Ft. Apartment,396 Sq. Ft.,Price on Request,(Carpet)
429460,Ruturaj Classic,2 BHK 481 Sq. Ft. Apartment,481 Sq. Ft.,Price on Request,(Carpet)
429460,Ruturaj Classic,3 BHK 754 Sq. Ft. Apartment,754 Sq. Ft.,Price on Request,(Carpet)
433352,Satyam Seasons,3 BHK 1194 Sq. Ft. Apartment,1194 Sq. Ft.,Rs 3.65 Cr,(Carpet)
433763,Runwal 7 Mahalaxmi,2 BHK 784 Sq. Ft. Apartment,784 Sq. Ft.,Rs 4.07 Cr,(Carpet)
433763,Runwal 7 Mahalaxmi,2 BHK 814 Sq. Ft. Apartment,814 Sq. Ft.,Rs 4.23 Cr,(Carpet)
433763,Runwal 7 Mahalaxmi,3 BHK 1299 Sq. Ft. Apartment,1299 Sq. Ft.,Rs 6.74 Cr,(Carpet)
433763,Runwal 7 Mahalaxmi,3 BHK 1417 Sq. Ft. Apartment,1417 Sq. Ft.,Rs 7.36 Cr,(Carpet)
433763,Runwal 7 Mahalaxmi,4 BHK 2082 Sq. Ft. Apartment,2082 Sq. Ft.,Rs 10.81 Cr,(Carpet)
433763,Runwal 7 Mahalaxmi,4 BHK 2093 Sq. Ft. Apartment,2093 Sq. Ft.,Rs 10.87 Cr,(Carpet)
433808,Supreme Boulevard,2 BHK 758 Sq. Ft. Apartment,758 Sq. Ft.,Rs 2.80 Cr,(Carpet)
433808,Supreme Boulevard,3 BHK 938 Sq. Ft. Apartment,938 Sq. Ft.,Rs 3.46 Cr,(Carpet)
